Noun,Adjective,Verb,Adverb,Conjunction,To,Target
,,,,,,
16405,6593,4228,3340,10358,938,0
,,,,,,
12102,3581,7302,3188,6740,1130,0
,,,,,,
13334,3833,7872,3194,8095,1342,0
,,,,,,
12030,3830,8508,3558,8762,1540,0
,,,,,,
15362,4820,10530,4181,10326,1863,0
,,,,,,
11079,3150,7823,3507,7791,1433,0
,,,,,,
10263,2905,6386,2604,6389,999,0
,,,,,,
10313,3030,7368,3058,7194,1295,0
,,,,,,
13007,3625,8832,3377,9132,1655,0
,,,,,,
11968,3498,8444,3282,8439,1638,0
,,,,,,
10765,2889,6445,2966,6503,1025,0
,,,,,,
11067,3145,7824,3507,7787,1433,0
,,,,,,
10612,2621,6295,2727,6321,1092,0
,,,,,,
12063,3814,8523,3566,8786,1542,0
,,,,,,
12187,3466,7560,2949,7101,1320,0
,,,,,,
11278,3418,8458,3918,7593,1550,0
,,,,,,
9872,2951,7005,3214,6356,1220,0
,,,,,,
12136,3446,8119,3180,7102,1408,0
,,,,,,
12078,3323,8019,3310,7374,1474,0
,,,,,,
9569,3338,7141,3100,6013,1362,0
,,,,,,
10804,3077,7994,3094,6887,1419,0
,,,,,,
6433,1932,5563,2306,5272,932,0
,,,,,,
12686,4191,8988,3978,8788,1644,0
,,,,,,
9086,2661,5836,2604,5751,1166,0
,,,,,,
9443,2920,6963,2707,6050,1189,0
,,,,,,
10690,3091,7174,2943,6478,1326,0
,,,,,,
1528,542,1229,481,1160,189,0
,,,,,,
11580,3451,8072,3848,7115,1447,0
,,,,,,
9055,2721,6325,2669,5843,1159,0
,,,,,,
8561,2796,6934,3010,6542,1082,0
,,,,,,
9891,2928,7741,3389,7296,1295,0
,,,,,,
10347,2931,7552,3132,6624,1405,0
,,,,,,
2475,774,1848,778,1742,289,0
,,,,,,
10878,3084,8411,3153,8111,1551,0
,,,,,,
11257,3032,7185,3015,6492,1316,0
,,,,,,
8733,3054,6467,2717,6143,1087,0
,,,,,,
5628,2137,4499,2125,4634,759,0
,,,,,,
5963,2034,4776,2371,4603,731,0
,,,,,,
10286,2716,7149,3093,5901,854,0
,,,,,,
9302,2799,7377,3221,6753,1191,0
,,,,,,
12492,3907,9372,3968,8597,1513,0
,,,,,,
8289,2627,6339,2760,6024,1080,0
,,,,,,
7025,2200,5596,2466,5292,810,0
,,,,,,
11892,3436,9253,3972,8221,1546,0
,,,,,,
8678,2432,6503,2515,6348,1235,0
,,,,,,
11475,3023,7739,2884,7707,1357,0
,,,,,,
11900,3442,8853,3818,8158,1514,0
,,,,,,
8682,2422,6329,2610,6074,1094,0
,,,,,,
8397,2794,6916,3006,6522,1083,0
,,,,,,
11773,3413,9223,3960,8173,1538,0
,,,,,,
6735,2070,5568,2061,5008,873,0
,,,,,,
8999,3067,6815,3209,6418,1156,0
,,,,,,
7325,2474,5867,2305,5799,1055,0
,,,,,,
7881,2422,6753,2778,6350,1112,0
,,,,,,
7474,2489,5893,2315,5830,1063,0
,,,,,,
1021,359,736,355,751,109,0
,,,,,,
16802,4645,10990,4449,9506,1934,0
,,,,,,
10151,3325,7500,3246,7521,1116,0
,,,,,,
8479,3047,6437,2698,6119,1085,0
,,,,,,
8049,2623,6308,2754,6001,1074,0
,,,,,,
9139,3096,6825,3200,6403,1157,0
,,,,,,
5656,1761,3817,1616,3607,696,0
,,,,,,
9674,2990,7619,3367,7262,1285,0
,,,,,,
11589,3430,8836,3813,8114,1513,0
,,,,,,
7957,2639,5976,2491,6257,977,0
,,,,,,
857,284,542,223,658,119,0
,,,,,,
6848,2084,4739,1820,5136,925,0
,,,,,,
13589,3199,8078,3607,6906,1075,0
,,,,,,
10407,3037,7919,3435,7402,1308,0
,,,,,,
8906,2694,7525,3121,7405,1257,0
,,,,,,
13600,3870,9573,4189,8932,1867,0
,,,,,,
9068,2587,6898,3034,6318,1205,0
,,,,,,
9158,2580,6946,3033,6325,1205,0
,,,,,,
7622,2381,6702,2759,6310,1110,0
,,,,,,
8964,2346,6106,2859,5627,934,0
,,,,,,
10405,3263,6765,3395,6919,978,0
,,,,,,
11892,3103,6863,3236,7570,1081,0
,,,,,,
8000,2330,5225,2496,5287,786,0
,,,,,,
3676,1967,1697,1122,2857,424,0
,,,,,,
8286,2383,5275,2662,5445,772,0
,,,,,,
8147,2168,4490,1630,4739,724,0
,,,,,,
10725,2911,7538,3243,6857,1404,0
,,,,,,
7642,1792,5156,2273,4705,839,0
,,,,,,
10587,2965,8137,3590,7113,1141,0
,,,,,,
12012,3825,9312,3930,8419,1496,0
,,,,,,
10328,3036,7912,3431,7400,1308,0
,,,,,,
9532,2986,7614,3358,7247,1284,0
,,,,,,
10750,3076,8399,3153,8100,1550,0
,,,,,,
9755,2899,7700,3383,7262,1292,0
,,,,,,
16155,3953,9871,3811,8866,1850,0
,,,,,,
9197,2787,7358,3200,6741,1189,0
,,,,,,
8680,2422,6496,2510,6347,1234,0
,,,,,,
,,,,,,
,,,,,,
19435,6324,13618,5736,15563,2276,1
,,,,,,
17989,5669,12327,4930,14320,2104,1
,,,,,,
11920,3915,8408,3559,9142,1572,1
,,,,,,
7202,2336,4968,1999,5423,877,1
,,,,,,
20188,7234,15472,6632,16293,2836,1
,,,,,,
16721,5245,11632,4487,12165,1848,1
,,,,,,
21515,7475,14275,6191,16474,2721,1
,,,,,,
20630,7443,14540,6404,16229,2590,1
,,,,,,
22005,7089,14525,5331,16584,2487,1
,,,,,,
19764,5968,13986,6031,14792,2656,1
,,,,,,
8504,2529,6213,2588,6633,1034,1
,,,,,,
9054,3190,5676,2164,7323,1008,1
,,,,,,
13628,4767,8976,3808,11287,1453,1
,,,,,,
19069,6606,13976,5247,15469,2470,1
,,,,,,
15904,5087,11977,5355,12041,2184,1
,,,,,,
26262,8360,17497,6737,21281,3069,1
,,,,,,
6185,1861,3764,1372,4932,804,1
,,,,,,
18992,6740,14384,5991,15646,2596,1
,,,,,,
12848,4225,9017,3828,10059,1724,1
,,,,,,
17868,5574,12200,4880,14159,2075,1
,,,,,,
26964,9378,18345,8229,21928,3389,1
,,,,,,
19679,6527,13585,6288,14353,2705,1
,,,,,,
21375,7234,15646,6797,17137,2720,1
,,,,,,
20392,5914,14225,5631,15609,2578,1
,,,,,,
6134,2004,4015,1679,4914,677,1
,,,,,,
20371,6473,13762,6070,15028,2433,1
,,,,,,
5850,1643,3254,1396,4412,668,1
,,,,,,
20097,7121,14937,6372,16245,2802,1
,,,,,,
20317,6831,14566,6147,15774,2751,1
,,,,,,
21447,6884,15018,6834,15983,2904,1
,,,,,,
19452,6927,16328,6943,18225,2820,1
,,,,,,
11397,4052,8293,3592,8859,1440,1
,,,,,,
21460,7392,14206,5840,16655,2732,1
,,,,,,
5539,1884,4136,1628,4626,807,1
,,,,,,
21363,7569,14295,6216,16359,2610,1
,,,,,,
19524,6255,13610,5751,15553,2276,1
,,,,,,
20642,7353,14237,6698,15373,2838,1
,,,,,,
22194,6787,15915,6180,18151,2836,1
,,,,,,
5016,1524,3824,1606,4329,569,1
,,,,,,
3982,1203,2882,1111,3015,512,1
,,,,,,
21298,7157,14708,6321,15982,2620,1
,,,,,,
